template_id,difficulty,source_row,combination,query,question,repgrase,unnamed_12,narrative_question
medium_r0012,medium,12,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""DIED"": {""value"": ""Y""}}}]}}}","After experiencing values starting with 'Y', I wonder how many others had similar cases and what their outcomes were?","After experiencing values starting with 'Y', I wonder how many others had similar cases and what their outcomes were?","Considering the records associated with I analyzing entries with died after treatment. Please retrieve those records for deeper insights., might we detect patterns indicating previously unreported clinical phenomena?",I'm analyzing records of patients who died after treatment to look for potential patterns that might indicate previously unreported clinical phenomena. Could you help me retrieve these records so we can examine them more closely for any insights?
medium_r0013,medium,13,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_TYPE"": {""value"": ""RV5""}}}]}}}",I've come across entries with values starting with 'RV5'. Can we see how frequently this occurs and any results?,Our clinic is treating cases where come across entries with values starting with 'RV5'. Can we see how frequently this occurs and any results?,"In the context of analyzing I analyzing entries with current vaccine type RV5. Please retrieve those records for deeper insights., could this reflect an underlying systematic issue within certain subgroups or treatments?","In the context of analyzing I analyzing entries with current vaccine type RV5. Please retrieve those records for deeper insights., could this reflect an underlying systematic issue within certain subgroups or treatments?"
medium_r0014,medium,14,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_ROUTE"": {""value"": ""UN""}}}]}}}",There's an instance of values starting with 'UN' Can you find all similar cases and summarize their results?,There's an instance of values starting with 'UN' Can you find all similar cases and summarize their results?,"In analyzing cases linked to A family member showed vax route UN. Could you look up comparable cases and their follow-up?, is there any indication of systemic inconsistencies or categorization errors?","In analyzing cases linked to A family member showed vax route is unknown/ unspecified. Could you look up comparable cases and their follow-up?, is there any indication of systemic inconsistencies or categorization errors?"
medium_r0015,medium,15,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_TYPE"": {""value"": ""RV1""}}}]}}}","When records show values starting with 'RV1', what do others report as their follow-up outcomes?","When records show values starting with 'RV1', what do others report as their follow-up outcomes?","Considering the records associated with I reporting on incidents of current vaccine type RV1. Can you provide examples and their key examination results?, might we detect patterns indicating previously unreported clinical phenomena?","Considering the records associated with I reporting on incidents of current vaccine type RV1. Can you provide examples and their key examination results?, might we detect patterns indicating previously unreported clinical phenomena?"
medium_r0016,medium,16,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""PRIOR_VAX"": {""value"": ""Fat""}}}]}}}",There's an instance of values starting with 'Fat' Can you find all similar cases and summarize their results?,There's an instance of values starting with 'Fat' Can you find all similar cases and summarize their results?,"In reviewing events tied to I tracking occurrences of prior vaccinations Fat. Please map their distribution and counts by state., are there clear indications that suggest a broader systemic documentation challenge?",Research staff screens patient histories for adverse patterns. They focus on those starting 'Fat' in prior vaccine records. Locate records with Prior Vaccination Event prefix 'Fat'.
medium_r0017,medium,17,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""ER_ED_VISIT"": {""value"": ""Y""}}}]}}}",I found records with values starting with 'Y'. Please retrieve all matching cases and share their results?,My friend mentioned that they found records with values starting with 'Y'. Please retrieve all matching cases and share their results?,"Looking at instances involving A family member showed ER/ED record Y. Could you look up comparable cases and their follow-up?, what explanations might account for observed variations in clinical reporting?",The team is using a custom filter to find records where patients visited the emergency room or emergency department after vaccination. Could you retrieve all the records that match this criteria.
medium_r0018,medium,18,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""DISABLE"": {""value"": ""Y""}}}]}}}","Seeing values starting with 'Y' noted, could you pull up all such entries and show their outcomes?","Seeing values starting with 'Y' noted, could you pull up all such entries and show their outcomes?","Looking at instances involving I cared for a patient with disability status Y. How often does this occur and what follow-up was noted?, what explanations might account for observed variations in clinical reporting?",Support services track patients with new disabilities noted. They use 'Y' indicators to count cases. Fetch entries where Post-Vaccination shows Disability .
medium_r0019,medium,19,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""L_THREAT"": {""value"": ""Y""}}}]}}}","In reviewing cases where values starting with 'Y', could you list the matching records and what happened next?","In reviewing cases where values starting with 'Y', could you list the matching records and what happened next?","Considering the records associated with I experienced life threat Y. Are there others like me and what were their outcomes?, might we detect patterns indicating previously unreported clinical phenomena?","We need a count of all records where the Life-Threatening Illness field is marked as ""Y"". These are cases that emergency teams have flagged as severe, life-threatening incidents."
medium_r0020,medium,20,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""RECOVD"": {""value"": ""N""}}}]}}}","Having seen values starting with 'N', I'm curious about similar records and their typical outcomes?","Having seen values starting with 'N', I'm curious about similar records and their typical outcomes?","In reviewing events tied to My friend has recovery status N. Can you find similar records and share their confirmation of recovery or not?, are there clear indications that suggest a broader systemic documentation challenge?","In reviewing events tied to My friend has recovery status N. Can you find similar records and share their confirmation of recovery or not?, are there clear indications that suggest a broader systemic documentation challenge?"
medium_r0021,medium,21,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""ER_ED_VISIT"": {""value"": ""Y""}}}]}}}","In reviewing cases where values starting with 'Y', could you list the matching records and what happened next?","In reviewing cases where values starting with 'Y', could you list the matching records and what happened next?","For data entries connected to I reporting on incidents of ER/ED record Y. Can you provide examples and their key examination results?, could there be previously unnoticed demographic or clinical correlations?","For data entries connected to I reporting on incidents of emergency room/ emergency department records. Can you provide examples and their key examination results?, could there be previously unnoticed demographic or clinical correlations?"
medium_r0022,medium,22,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_SITE"": {""value"": ""OT""}}}]}}}",I noticed values starting with 'OT' in some reports; how common is this and what were the hospital stays or results?,Health records indicate cases where noticed values starting with 'OT' in some reports; how common is this and what were the hospital stays or results?,"Looking at instances involving I reporting on incidents of vaccination site OT. Can you provide examples and their key examination results?, what explanations might account for observed variations in clinical reporting?","Looking at instances involving I reporting on incidents of vaccination site OT. Can you provide examples and their key examination results?, what explanations might account for observed variations in clinical reporting?"
medium_r0023,medium,23,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""LAB_DATA"": {""value"": ""18M""}}}]}}}","Having seen values starting with '18M', I'm curious about similar records and their typical outcomes?","Having seen values starting with '18M', I'm curious about similar records and their typical outcomes?","Upon reviewing patient records referencing I reporting on incidents of examination results 18M. Can you provide examples and their key examination results?, can we find a specific trend or anomaly that warrants deeper investigation?",I’ve noticed several lab result entries that start with “18M.” Can we pull up similar cases to see what those results were and how the patients fared? I’m wondering if there’s any pattern or unusual trend that might be worth a closer look.
medium_r0024,medium,24,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""RECOVD"": {""value"": ""Y""}}}]}}}",I found records with values starting with 'Y'. Please retrieve all matching cases and share their results?,One of my colleagues encountered a patient who found records with values starting with 'Y'. Please retrieve all matching cases and share their results?,"In the context of analyzing I help a patient who had recovery status Y. Could you pull up similar cases and lengths of hospital stays?, could this reflect an underlying systematic issue within certain subgroups or treatments?","I’m reviewing cases where the recovery status is marked “Yes.” Can you pull up similar patient records, including how long they stayed in the hospital? I’d like to see if there’s any consistent pattern or potential issue across certain groups or treatments."
medium_r0025,medium,25,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""L_THREAT"": {""value"": ""Y""}}}]}}}","Having seen values starting with 'Y', I'm curious about similar records and their typical outcomes?","Having seen values starting with 'Y', I'm curious about similar records and their typical outcomes?","In analyzing cases linked to I tracking occurrences of life threat Y. Please map their distribution and counts by state., is there any indication of systemic inconsistencies or categorization errors?",A safety committee logs life-threatening cases in a separate ledger. They require precise counts for critical alerts. How many entries have Life-Threatening Illness?
medium_r0026,medium,26,range,"{""query"": {""bool"": {""filter"": [{""range"": {""CAGE_MO"": {""gte"": 0.0, ""lte"": 0.1}}}]}}}",I noticed values between 0.0 and 0.1 in some reports; how common is this and what were the hospital stays or results?,The medical center has documented patients that noticed values between 0.0 and 0.1 in some reports; how common is this and what were the hospital stays or results?,"Upon reviewing patient records referencing I analyzing entries with cage mo between 0.0 and 0.1. Please retrieve those records for deeper insights., can we find a specific trend or anomaly that warrants deeper investigation?","I’m looking into patient records where the age in months is between 0.0 and 0.1, essentially newborns just a few days old. Could you pull all those cases and include details on their hospital stays and outcomes? I’d like to see if there’s any noticeable trend or unusual pattern."
medium_r0027,medium,27,range,"{""query"": {""bool"": {""filter"": [{""range"": {""FORM_VERS"": {""gte"": 1.0, ""lte"": 1.1}}}]}}}","When records show values between 1.0 and 1.1, what do others report as their follow-up outcomes?","When records show values between 1.0 and 1.1, what do others report as their follow-up outcomes?","In reviewing events tied to I tracking occurrences of form vers between 1.0 and 1.1. Please map their distribution and counts by state., are there clear indications that suggest a broader systemic documentation challenge?","I’m reviewing reports where the form version number is between 1.0 and 1.1. Can you show me how these cases are distributed across different states, along with the counts? I’m also wondering if the data points to a bigger, system-wide documentation issue."
medium_r0028,medium,28,range,"{""query"": {""bool"": {""filter"": [{""range"": {""HOSPDAYS"": {""gte"": 1.0, ""lte"": 1112.0}}}]}}}",I noticed values between 1.0 and 1112.0 in some reports; how common is this and what were the hospital stays or results?,My friend mentioned that they noticed values between 1.0 and 1112.0 in some reports; how common is this and what were the hospital stays or results?,"For data entries connected to I cared for a patient with days in hospital between 1.0 and 1112.0. How often does this occur and what follow-up was noted?, could there be previously unnoticed demographic or clinical correlations?","For data entries connected to I cared for a patient with days in hospital between 1.0 and 1112.0. How often does this occur and what follow-up was noted?, could there be previously unnoticed demographic or clinical correlations?"
medium_r0029,medium,29,range,"{""query"": {""bool"": {""filter"": [{""range"": {""FORM_VERS"": {""gte"": 1.0, ""lte"": 1.1}}}]}}}","When records show values between 1.0 and 1.1, what do others report as their follow-up outcomes?","When records show values between 1.0 and 1.1, what do others report as their follow-up outcomes?","Looking at instances involving I help a patient who had form vers between 1.0 and 1.1. Could you pull up similar cases and lengths of hospital stays?, what explanations might account for observed variations in clinical reporting?","Looking at instances involving I help a patient who had form vers between 1.0 and 1.1. Could you pull up similar cases and lengths of hospital stays?, what explanations might account for observed variations in clinical reporting?"
medium_r0030,medium,30,range,"{""query"": {""bool"": {""filter"": [{""range"": {""AGE_YRS"": {""gte"": 0.08, ""lte"": 10.272}}}]}}}","Seeing values between 0.08 and 10.272 noted, could you pull up all such entries and show their outcomes?","Seeing values between 0.08 and 10.272 noted, could you pull up all such entries and show their outcomes?","Considering the records associated with I experienced age of patient between 0.08 and 10.272. Are there others like me and what were their outcomes?, might we detect patterns indicating previously unreported clinical phenomena?","I’m looking into patient records where the age falls between about one month and ten years. Can you pull up all similar cases, share their outcomes, and see if there are any patterns that might point to clinical trends we haven’t noticed before?"
medium_r0031,medium,31,range,"{""query"": {""bool"": {""filter"": [{""range"": {""CAGE_MO"": {""gte"": 0.0, ""lte"": 0.1}}}]}}}",I found records with values between 0.0 and 0.1. Please retrieve all matching cases and share their results?,Hospital records show individuals who found records with values between 0.0 and 0.1. Please retrieve all matching cases and share their results?,"In the context of analyzing I cared for a patient with cage mo between 0.0 and 0.1. How often does this occur and what follow-up was noted?, could this reflect an underlying systematic issue within certain subgroups or treatments?","I’m looking at cases where the patient’s age in months is between 0 and 0.1. Can you find all these records and tell me what happened with them? How common are these cases? Also, do you see any patterns or issues that might be affecting this specific age group?"
medium_r0032,medium,32,range,"{""query"": {""bool"": {""filter"": [{""range"": {""HOSPDAYS"": {""gte"": 1.0, ""lte"": 1112.0}}}]}}}",I found records with values between 1.0 and 1112.0. Please retrieve all matching cases and share their results?,My friend mentioned that they found records with values between 1.0 and 1112.0. Please retrieve all matching cases and share their results?,"In the context of analyzing I tracking occurrences of days in hospital between 1.0 and 1112.0. Please map their distribution and counts by state., could this reflect an underlying systematic issue within certain subgroups or treatments?",I came across some cases where people stayed in the hospital anywhere from 1 day up to over 3 years (1112 days). Can you pull up all those records and tell me what happened with those patients?
medium_r0033,medium,33,range,"{""query"": {""bool"": {""filter"": [{""range"": {""NUMDAYS"": {""gte"": 0.0, ""lte"": 3706.5}}}]}}}",There's an instance of values between 0.0 and 3706.5 Can you find all similar cases and summarize their results?,There's an instance of values between 0.0 and 3706.5 Can you find all similar cases and summarize their results?,"For data entries connected to I help a patient who had numdays between 0.0 and 3706.5. Could you pull up similar cases and lengths of hospital stays?, could there be previously unnoticed demographic or clinical correlations?","I’m reviewing records where hospital stays range from 0 to 3706.5 days. Could you pull up those cases and their lengths of stay? Also, do you see any patterns or links to patient demographics or clinical factors that might explain these long or short stays?"
medium_r0034,medium,34,range,"{""query"": {""bool"": {""filter"": [{""range"": {""CAGE_MO"": {""gte"": 0.0, ""lte"": 0.1}}}]}}}","Looking at reports of values between 0.0 and 0.1, could you show how many there are and what happened to those patients?","Looking at reports of values between 0.0 and 0.1, could you show how many there are and what happened to those patients?","Considering the records associated with I tracking occurrences of cage mo between 0.0 and 0.1. Please map their distribution and counts by state., might we detect patterns indicating previously unreported clinical phenomena?",I’m seeing reports where this value called corrected age in months falls between 0.0 and 0.1. Could you tell me how many cases there are like this and what outcomes those patients had?
medium_r0035,medium,35,range,"{""query"": {""bool"": {""filter"": [{""range"": {""AGE_YRS"": {""gte"": 0.08, ""lte"": 10.272}}}]}}}","When records show values between 0.08 and 10.272, what do others report as their follow-up outcomes?","When records show values between 0.08 and 10.272, what do others report as their follow-up outcomes?","Considering the records associated with I cared for a patient with age of patient between 0.08 and 10.272. How often does this occur and what follow-up was noted?, might we detect patterns indicating previously unreported clinical phenomena?","I’m looking at cases where patients are between about one month and 10 years old. How often do these cases occur, and what kind of follow-up outcomes have been reported for them? Are there any noticeable patterns or unexpected trends in their recovery or complications that we should investigate further?"
medium_r0036,medium,36,range,"{""query"": {""bool"": {""filter"": [{""range"": {""AGE_YRS"": {""gte"": 0.08, ""lte"": 10.272}}}]}}}","Seeing values between 0.08 and 10.272 noted, could you pull up all such entries and show their outcomes?","Seeing values between 0.08 and 10.272 noted, could you pull up all such entries and show their outcomes?","Considering the records associated with I help a patient who had age of patient between 0.08 and 10.272. Could you pull up similar cases and lengths of hospital stays?, might we detect patterns indicating previously unreported clinical phenomena?","I’m reviewing cases of patients aged between about one month and 10 years. Could you pull up all records within this age range and share their outcomes, including hospital stay lengths? Are there any patterns or unusual trends that might point to clinical issues we haven’t noticed before?"
medium_r0037,medium,37,range,"{""query"": {""bool"": {""filter"": [{""range"": {""VAERS_ID"": {""gte"": 0.0, ""lte"": 13401.1}}}]}}}","Looking at reports of values between 0.0 and 13401.1, could you show how many there are and what happened to those patients?","Looking at reports of values between 0.0 and 13401.1, could you show how many there are and what happened to those patients?","In analyzing cases linked to I help a patient who had ID of patient between 0.0 and 13401.1. Could you pull up similar cases and lengths of hospital stays?, is there any indication of systemic inconsistencies or categorization errors?","I’m reviewing patient records with IDs between 0 and about 13,400. Could you tell me how many cases fall in this range and what outcomes those patients had, including how long they stayed in the hospital? Also, is there any sign of inconsistencies or errors in how these cases were categorized?"
medium_r0038,medium,38,range,"{""query"": {""bool"": {""filter"": [{""range"": {""AGE_YRS"": {""gte"": 0.08, ""lte"": 10.272}}}]}}}","Looking at reports of values between 0.08 and 10.272, could you show how many there are and what happened to those patients?","Looking at reports of values between 0.08 and 10.272, could you show how many there are and what happened to those patients?","Looking at instances involving As a physician seeing cases of age of patient between 0.08 and 10.272, how many patients match these criteria and what were their results?, what explanations might account for observed variations in clinical reporting?","As a physician reviewing cases of young patients between about one month and ten years old, how many such cases have we seen, and what were their outcomes? Are there any explanations for differences in how these cases were reported clinically?"
medium_r0039,medium,39,range,"{""query"": {""bool"": {""filter"": [{""range"": {""VAERS_ID"": {""gte"": 0.0, ""lte"": 13401.1}}}]}}}","After experiencing values between 0.0 and 13401.1, I wonder how many others had similar cases and what their outcomes were?","After experiencing values between 0.0 and 13401.1, I wonder how many others had similar cases and what their outcomes were?","In analyzing cases linked to I analyzing entries with ID of patient between 0.0 and 13401.1. Please retrieve those records for deeper insights., is there any indication of systemic inconsistencies or categorization errors?","I’m looking into patient reports with IDs ranging from 0 to about 13,400. Could you tell me how many cases fall within this range and what their outcomes were? Also, are there any signs of inconsistencies or errors in how these cases were recorded?"
medium_r0040,medium,40,range,"{""query"": {""bool"": {""filter"": [{""range"": {""FORM_VERS"": {""gte"": 1.0, ""lte"": 1.1}}}]}}}",I noticed values between 1.0 and 1.1 in some reports; how common is this and what were the hospital stays or results?,My mother recently noticed values between 1.0 and 1.1 in some reports; how common is this and what were the hospital stays or results?,"Looking at instances involving My friend has form vers between 1.0 and 1.1. Can you find similar records and share their confirmation of recovery or not?, what explanations might account for observed variations in clinical reporting?","I’ve seen some reports with form version numbers between 1.0 and 1.1. How common are these, and what do the hospital stays and recovery outcomes look like for those cases? A friend of mine falls into this group, so I’m curious if others with similar form versions recovered or not. Could there be reasons behind differences in how these cases are reported?"
medium_r0041,medium,41,range,"{""query"": {""bool"": {""filter"": [{""range"": {""FORM_VERS"": {""gte"": 1.0, ""lte"": 1.1}}}]}}}","After experiencing values between 1.0 and 1.1, I wonder how many others had similar cases and what their outcomes were?","After experiencing values between 1.0 and 1.1, I wonder how many others had similar cases and what their outcomes were?","In reviewing events tied to I tracking occurrences of form vers between 1.0 and 1.1. Please map their distribution and counts by state., are there clear indications that suggest a broader systemic documentation challenge?","I’ve noticed some reports showing form version numbers between 1.0 and 1.1. I’m curious how many others fall into this group and what their health outcomes were. Also, can we see how these cases are spread across different states? Do you think there might be a bigger issue with how these reports are being documented?"
medium_r0042,medium,42,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""VAX_DOSE_SERIES"": {""value"": ""*2*""}}}]}}}","In reviewing cases where values matching '*2*', could you list the matching records and what happened next?","In reviewing cases where values matching '*2*', could you list the matching records and what happened next?","In analyzing cases linked to I help a patient who had vaccine dose series matching *2*. Could you pull up similar cases and lengths of hospital stays?, is there any indication of systemic inconsistencies or categorization errors?","I’m looking into cases where patients received a vaccine dose that includes the number 2 in its sequence. Could you help me find those records and share what happened afterward? For example, how long were the hospital stays? Also, are there any signs of inconsistent reporting or issues with how these cases are categorized?"
medium_r0043,medium,43,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""VAX_SITE"": {""value"": ""*OT*""}}}]}}}","Looking at reports of values matching '*OT*', could you show how many there are and what happened to those patients?","Looking at reports of values matching '*OT*', could you show how many there are and what happened to those patients?","When considering records mentioning I cared for a patient with vaccination site matching *OT*. How often does this occur and what follow-up was noted?, have patterns emerged that might signal a procedural or documentation anomaly?","I’m reviewing cases where the vaccine was given at a site that includes ‘OT’ in its description. Could you tell me how many such cases there are and what happened to those patients afterward? When I look at patients vaccinated at these sites, how often do these situations occur, and what kind of follow-up was reported? Are there any patterns that might suggest issues with how these were documented or administered?"
medium_r0044,medium,44,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""ER_ED_VISIT"": {""value"": ""*Y*""}}}]}}}","Having seen values matching '*Y*', I'm curious about similar records and their typical outcomes?","Having seen values matching '*Y*', I'm curious about similar records and their typical outcomes?","For data entries connected to I help a patient who had ER/ED record matching *Y*. Could you pull up similar cases and lengths of hospital stays?, could there be previously unnoticed demographic or clinical correlations?","I noticed some cases where patients had an emergency room or emergency department visit recorded as ‘yes.’ I’d like to see how many similar cases there are and what the typical outcomes were. For patients with these emergency room/ department visits, could you also share how long they stayed in the hospital? Are there any hidden patterns or trends in demographics or clinical details that we should be aware of?"
medium_r0045,medium,45,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""OTHER_MEDS"": {""value"": ""*No*""}}}]}}}",I noticed values matching '*No*' in some reports; how common is this and what were the hospital stays or results?,The medical center has documented patients that noticed values matching '*No*' in some reports; how common is this and what were the hospital stays or results?,"Given the context involving I cared for a patient with other medications matching *No*. How often does this occur and what follow-up was noted?, are there identifiable factors contributing to unexpected health outcomes in recent reports?","I came across several reports where patients had ‘No’ listed under other medications. How common is this, and what kind of hospital stays or outcomes did those patients have? In cases like these, have there been any follow-ups or notable patterns in recovery? Could there be specific factors leading to unexpected health issues in these patients?"
medium_r0046,medium,46,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""VAX_DOSE_SERIES"": {""value"": ""*UN*""}}}]}}}",I found records with values matching '*UN*'. Please retrieve all matching cases and share their results?,My mother recently found records with values matching '*UN*'. Please retrieve all matching cases and share their results?,"Upon reviewing patient records referencing As a physician seeing cases of vaccine dose series matching *UN*, how many patients match these criteria and what were their results?, can we find a specific trend or anomaly that warrants deeper investigation?","I came across several cases where the vaccine dose series was marked with something like ‘UN’ (unknown or unspecified). Could you find all these cases and share what happened to those patients? As a doctor reviewing this, I’d like to know how many patients fit this description and what their outcomes were. Do you see any patterns or unusual trends that might need further investigation?"
medium_r0047,medium,47,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""DIED"": {""value"": ""*Y*""}}}]}}}",I noticed values matching '*Y*' in some reports; how common is this and what were the hospital stays or results?,The medical center has documented patients that noticed values matching '*Y*' in some reports; how common is this and what were the hospital stays or results?,"Considering the records associated with A family member showed died after treatment matching *Y*. Could you look up comparable cases and their follow-up?, might we detect patterns indicating previously unreported clinical phenomena?","I’ve seen some reports where the outcome was marked as death. How often does this happen, and what were the hospital stays or other follow-up details for these cases? A family member recently passed away after treatment, so I’m trying to understand if there are similar cases and if there might be any patterns or causes we haven’t noticed before."
medium_r0048,medium,48,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""V_ADMINBY"": {""value"": ""*PH*""}}}]}}}","Seeing values matching '*PH*' noted, could you pull up all such entries and show their outcomes?","Seeing values matching '*PH*' noted, could you pull up all such entries and show their outcomes?","Upon reviewing patient records referencing I tracking occurrences of v adminby matching *PH*. Please map their distribution and counts by state., can we find a specific trend or anomaly that warrants deeper investigation?","My relative got vaccinated at a pharmacy, and I want to understand how common that is and what kind of outcomes other people had in similar situations. Could you help me find that info and tell me if certain states had different results?"
medium_r0049,medium,49,wildcard,"{""query"": {""bool"": {""filter"": [{""wildcard"": {""ONSET_DATE"": {""value"": ""*10*""}}}]}}}","In reviewing cases where values matching '*10*', could you list the matching records and what happened next?","In reviewing cases where values matching '*10*', could you list the matching records and what happened next?","Upon reviewing patient records referencing I analyzing entries with onset date matching *10*. Please retrieve those records for deeper insights., can we find a specific trend or anomaly that warrants deeper investigation?",I noticed several patients had symptoms starting on dates with ‘10’ in them. Can you help me get a list of those cases and what the outcomes were? Maybe there’s something we should pay closer attention to.
