source_row,level,combination,count,summary_level,summary_count
117,medium,ids + regexp,0,,
118,medium,term + term + prefix,20,,
119,medium,term + term + range,13,,
120,medium,term + term + wildcard,19,,
121,medium,term + term + regexp,15,,
122,medium,term + terms + prefix,19,,
123,medium,term + terms + range,13,,
124,medium,term + terms + wildcard,17,,
125,medium,term + terms + regexp,18,,
126,medium,term + ids + prefix,23,,
127,medium,term + ids + range,15,,
128,medium,term + ids + wildcard,22,,
129,medium,term + ids + regexp,19,,
130,medium,terms + terms + prefix,19,,
131,medium,terms + terms + range,10,,
132,medium,terms + terms + wildcard,22,,
133,medium,terms + terms + regexp,18,,
134,medium,terms + ids + prefix,27,,
135,medium,terms + ids + range,12,,
136,medium,terms + ids + wildcard,27,,
137,medium,terms + ids + regexp,24,,
138,medium,ids + ids + prefix,25,,
139,medium,ids + ids + range,22,,
140,medium,ids + ids + wildcard,26,,
141,medium,ids + ids + regexp,25,,
142,medium,term + term + term + prefix,19,,
143,medium,term + term + term + range,10,,
144,medium,term + term + term + wildcard,21,,
145,medium,term + term + term + regexp,18,,
146,medium,term + terms + terms + prefix,15,,
147,medium,term + terms + terms + range,11,,
148,medium,term + terms + terms + wildcard,14,,
149,medium,term + terms + terms + regexp,21,,
150,medium,term + ids + ids + prefix,21,,
151,medium,term + ids + ids + range,12,,
152,medium,term + ids + ids + wildcard,22,,
153,medium,term + ids + ids + regexp,26,,
154,medium,terms + terms + terms + prefix,11,,
155,medium,terms + terms + terms + range,12,,
156,medium,terms + terms + terms + wildcard,15,,
157,medium,terms + terms + terms + regexp,18,,
158,medium,terms + terms + ids + prefix,22,,
159,medium,terms + terms + ids + range,12,,
160,medium,terms + terms + ids + wildcard,21,,
161,medium,terms + terms + ids + regexp,20,,
162,medium,terms + ids + ids + prefix,25,,
163,medium,terms + ids + ids + range,17,,
164,medium,terms + ids + ids + wildcard,14,,
165,medium,terms + ids + ids + regexp,20,,
166,medium,ids + ids + ids + prefix,26,,
167,medium,ids + ids + ids + range,22,,
168,medium,ids + ids + ids + wildcard,29,,
169,medium,ids + ids + ids + regexp,27,,
170,medium,mixed 2 simple + 2 medium,0,,
171,medium,mixed 3 simple + 1 medium,0,,
172,medium,nested bool.filter of medium + simple,0,,
173,medium,nested bool.must (medium inside medium),0,,
174,medium,constant_score + prefix,27,,
175,medium,constant_score + range,16,,
176,medium,constant_score + wildcard,25,,
177,medium,constant_score + regexp,27,,
178,medium,function_score + prefix,29,,
179,medium,function_score + range,14,,
180,medium,function_score + wildcard,27,,
181,medium,function_score + regexp,27,,
182,medium,term + prefix inside should,21,,
183,medium,term + range inside should,15,,
184,medium,term + wildcard inside should,23,,
185,medium,term + regexp inside should,20,,
186,medium,terms + prefix in must_not,22,,
187,medium,terms + range in must_not,16,,
188,medium,ids + wildcard in must_not,24,,
189,medium,term + regexp in must_not,23,,
190,medium,multi-clause medium-only,0,,
191,medium,multi-clause mixed simple+medium,0,,
192,medium,multi_match + medium,0,,
193,medium,query_string + medium,0,,
194,medium,match_phrase + medium,0,,
195,medium,match + prefix in filter,26,,
196,medium,match + range in filter,17,,
197,medium,match + wildcard in filter,26,,
198,medium,match + regexp in filter,28,,
199,medium,nested bool combining medium & medium,0,,
200,medium,prefix + range inside must,16,,
201,medium,wildcard + regexp inside must,19,,
202,hard,match,30,2779,
203,hard,multi_match,30,,
204,hard,query_string,0,,
205,hard,match_phrase,30,,
206,hard,geo_distance,0,,
207,hard,geo_polygon,0,,
208,hard,term + match,30,,
209,hard,terms + match,30,,
210,hard,ids + match,0,,
211,hard,prefix + match,30,,
212,hard,range + match,30,,
213,hard,wildcard + match,30,,
214,hard,regexp + match,30,,
215,hard,term + multi_match,30,,
216,hard,terms + multi_match,30,,
217,hard,ids + multi_match,30,,
218,hard,term + query_string,30,,
219,hard,terms + query_string,30,,
220,hard,ids + query_string,0,,
221,hard,match + prefix + range,30,,
222,hard,match + wildcard + regexp,30,,
223,hard,multi_match + prefix + wildcard,30,,
224,hard,query_string + range + regexp,30,,
225,hard,geo_distance + term,0,,
226,hard,geo_polygon + terms,0,,
227,hard,match + sort,30,,
228,hard,multi_match + sort,30,,
229,hard,query_string + sort,30,,
230,hard,match + aggs.terms,29,,
231,hard,multi_match + aggs.date_histogram,30,,
232,hard,query_string + aggs.stats,0,,
233,hard,match + sort + aggs.terms,30,,
234,hard,multi_match + prefix + sort,30,,
235,hard,query_string + range + aggs.histogram,30,,
236,hard,match_phrase + wildcard + sort,30,,
237,hard,match + nested bool of term inside must,30,,
238,hard,match + nested bool of medium inside filter,30,,
239,hard,multi_match + function_score + range,30,,
240,hard,query_string + function_score + prefix,30,,
241,hard,geo_distance + sort,30,,
242,hard,geo_polygon + aggs.terms,30,,
243,hard,match + prefix + terms,30,,
244,hard,match + range + terms,30,,
245,hard,match + wildcard + terms,30,,
246,hard,multi_match + prefix + term,30,,
247,hard,query_string + range + term,30,,
248,hard,match + regexp + term,30,,
249,hard,term + aggs + sort,30,,
250,hard,terms + aggs + sort,30,,
251,hard,match + nested aggs (composite + terms),30,,
252,hard,multi_match + aggs.terms + sort,30,,
253,hard,query_string + aggs.histogram + sort,30,,
254,hard,geo_distance + function_score + sort,30,,
255,hard,match + aggs.cardinality,30,,
256,hard,match + aggs.percentiles,30,,
257,hard,multi_match + aggs.stats + range,30,,
258,hard,query_string + aggs.top_metrics + prefix,30,,
259,hard,match_phrase + aggs + term,30,,
260,hard,match + aggs.date_histogram + range,30,,
261,hard,multi_match + aggs.histogram + prefix,30,,
262,hard,query_string + wildcard + aggs,30,,
263,hard,match + regexp + aggs,30,,
264,hard,match + nested bool of match + term,30,,
265,hard,multi_match + nested bool of prefix + terms,30,,
266,hard,query_string + nested bool of range + ids,30,,
267,hard,match + function_score + aggs,30,,
268,hard,multi_match + function_score + sort,30,,
269,hard,query_string + function_score + range,30,,
270,hard,geo_distance + function_score + prefix,30,,
271,hard,match + sort + nested bool of simple filters,30,,
272,hard,multi_match + prefix + nested bool,30,,
273,hard,query_string + regexp + nested bool,30,,
274,hard,match + aggs + nested bool,30,,
275,hard,multi_match + range + nested bool,30,,
276,hard,query_string + prefix + nested bool,30,,
277,hard,match + sort + function_score,30,,
278,hard,multi_match + aggs + function_score,30,,
279,hard,query_string + nested aggs + sort,30,,
280,hard,geo_distance + nested aggs + sort,30,,
281,hard,match + prefix + function_score,30,,
282,hard,match + regex + function_score,30,,
283,hard,multi_match + wildcard + function_score,30,,
284,hard,query_string + range + function_score,30,,
285,hard,match_phrase + prefix + aggs,30,,
286,hard,match_phrase + range + aggs,30,,
287,hard,match_phrase + wildcard + aggs,30,,
288,hard,match_phrase + regexp + aggs,30,,
289,hard,multi_match + prefix + sort + aggs,30,,
290,hard,query_string + range + sort + aggs,30,,
291,hard,match + prefix + histogram aggs,30,,
292,hard,multi_match + range + top_metrics aggs,30,,
293,hard,query_string + wildcard + stats aggs,30,,
294,hard,match + regex + date_histogram,30,,
295,hard,multi_match + geo_distance + sort,30,,
296,hard,query_string + geo_polygon + aggs,30,,
297,hard,match + nested bool + function_score + aggs,30,,
298,hard,multi_match + nested bool + aggs + sort,30,,
299,hard,query_string + nested bool + sort + function_score,30,,
300,hard,geo_distance + nested bool + funkscore + sort,30,,
301,hard,match + multi_match + query_string,30,,
